episode,accumulated_reward
0,1076.1777001382786
1,1134.8215084219898
2,1082.9547854458544
3,1078.9929217024267
4,1085.0759287002772
5,1119.2808011114003
6,1137.6053652142994
7,1133.2970957580353
8,1129.0924261366692
9,1086.442259771691
10,1127.450101921696
11,1123.7397795359084
12,1092.709076338279
13,1038.805284278034
14,1126.5806503101187
15,1070.9962551883966
16,1012.4079837867706
17,1125.5800849234681
18,1015.5999128286521
19,1079.980921931566
20,1032.8124898921315
21,1111.14204088986
22,1106.1704288467104
23,1125.2644480296929
24,1077.0899477777523
25,1090.6568976703659
26,1083.0711020719486
27,1113.2736454971932
28,1044.9025555921542
29,1023.2454904431439
30,1054.9649353743787
31,1178.3622990845467
32,1095.3153589952283
33,1070.9051073002386
34,1114.640827018427
35,1071.2172111633643
36,1094.2555857712257
37,1093.6000381035924
38,1131.513026489022
39,1130.2374264756963
40,1046.136227119493
41,1124.943611558241
42,1130.0510799930967
43,1111.3658915509961
44,1104.6774648137223
45,1178.073204363515
46,1144.0109280553645
47,1031.480354864436
48,1124.9070783285638
49,1035.3544049882682
50,1138.6831661787637
51,1122.2229047420117
52,1119.937696439464
53,1136.507865089084
54,1123.0113532578393
55,1098.0742661578076
56,1076.3605710755835
57,1061.1042926446482
58,1132.7809415655813
59,1131.5529794580905
60,1093.254805902438
61,1129.28392023672
62,1127.9232909213533
63,1100.5286779322091
64,1123.1886667374483
65,1115.2702964389068
66,1131.750226731625
67,1189.9362744755247
68,1027.5779531094092
69,1180.2078026410381
70,1075.937350453799
71,1078.9683461973475
72,1138.4158101314567
73,1060.2439275187232
74,1022.2589389887816
75,1126.7356373264345
76,1101.301310239894
77,1140.1724018632685
78,1071.4629906917128
79,1037.7326993035804
80,1102.8542991152556
81,1112.8474907389527
82,1146.0401705730474
83,1138.005373688266
84,1126.3921574484175
85,1113.388817950124
86,1080.1451940123281
87,1091.92643777284
88,1103.4811930989374
89,1144.7380005693071
90,1098.665391494964
91,1135.3676392731427
92,1121.7017004522354
93,1077.2077805623287
94,1119.9237810584684
95,1131.2049673217612
96,1127.7897776298698
97,1131.009674570963
98,1140.1652501996866
99,1129.8829359167064
100,1189.686419610746
101,1116.3951236673115
102,1047.6928474201586
103,1114.4205386523993
104,1084.2936522740638
105,973.6421953910342
106,1118.9897115939775
107,1122.6771324933682
108,1109.3161111521301
109,1132.319373247774
110,1065.466352859312
111,1135.8675685226447
112,1071.5551073383674
113,1111.3643400561132
114,1130.584738461219
115,1129.0117125332033
116,1145.2703924826192
117,1047.827639440079
118,1083.899819450922
119,1138.8650864306817
120,1044.2048052802331
121,1112.5172839616073
122,1122.226846518701
123,1129.6813396489908
124,1122.22457983549
125,1113.8606518866604
126,1109.633690380312
127,1137.4125794615786
128,1106.8830828949967
129,1116.3277775899248
130,1124.5324935152132
131,1096.7072520926604
132,1073.5239671336058
133,1113.015050847209
134,1024.1936568442811
135,1118.6949862870563
136,1023.747165812238
137,1052.6529129731093
138,1047.5534025289949
139,1122.2770578505204
140,1043.3366717022725
141,1115.6547930524312
142,1087.371923497219
143,1114.5427146213842
144,1108.424859448125
145,1084.5170705287678
146,1119.68732062734
147,1127.632924369803
148,1117.7206662721678
149,1121.4280834313165
150,1107.0313367298324
151,1045.081593258965
152,1105.207910719389
153,1126.6128316189559
154,1063.1965356858652
155,999.9545608927648
156,1047.1566844387557
157,1112.932722905925
158,1107.3573025378178
159,1130.0480119657914
160,1042.769480959423
161,1109.7243834064334
162,1078.9201872033505
163,1034.761116536467
164,1064.4683175837733
165,1137.9142105693134
166,1065.638792101875
167,1058.5932888148072
168,1108.3600847155042
169,1105.4164851440212
170,1134.3360422819849
171,1131.9824841810314
172,1076.5746371533196
173,1111.5402436140912
174,1116.7106777906147
175,1118.823412248184
176,1129.8147228205926
177,1108.8214272089801
178,1116.477719937061
179,1181.267742620103
180,1094.9502902326872
181,1058.974896870657
182,1070.507764500137
183,1086.5703046957296
184,1129.1998168639982
185,1140.2882732442656
186,1130.7880190896478
187,1138.3954735915115
188,1076.7866284492625
189,1137.2979282633305
190,1130.3458263546593
191,1144.3742710523527
192,1059.040199244483
193,1114.4026468710906
194,1121.934311514939
195,1077.0537588202228
196,1104.5352851314299
197,1048.0640404881856
198,1107.8835589961302
199,1105.0352304874991
200,1116.5431261258937
201,1116.6390205900414
202,1107.5281568798057
203,1132.6145534718933
204,1091.882358579964
205,1132.2750639196443
206,1104.3160795112663
207,1138.3021656010842
208,1126.6569579084235
209,1044.464994246187
210,1103.1852875224592
211,1164.8176048635708
212,1073.6686864934713
213,1080.9720791693212
214,1090.6608841812545
215,1120.2636746052387
216,1132.2698554835754
217,1122.1742910940966
218,1121.7392258791288
219,1099.4829643609548
220,1056.911505927468
221,1115.0119766442854
222,1125.002719456436
223,1127.9205178340055
224,1046.7945233126109
225,1075.1692783475394
226,1081.002867178074
227,1109.9856654315854
228,1133.5787990566052
229,1035.9343324068304
230,1174.4975289598028
231,1120.5914755201097
232,1126.5118616801071
233,1112.9308732200864
234,1112.1721853589672
235,1094.4542675054906
236,1124.7232241581003
237,1056.3748774800895
238,1046.773507160617
239,1119.7367500503701
240,1141.1406647919075
241,1026.5618225950598
242,1131.8554458515734
243,1129.2392190395594
244,1076.3114642205696
245,1127.9874168513502
246,1081.5208851191053
247,1123.718010364335
248,1061.844428245547
249,1123.5906999863857
250,1086.7639969028876
251,1101.5715815923127
252,1094.5560566203796
253,1088.8040203063454
254,1138.2956755107493
255,1122.9642544858914
256,1084.3487067794426
257,1102.0281628372545
258,1086.7582992058535
259,1112.3306144508726
260,1122.511372921511
261,1113.0494895693662
262,1043.4335074804444
263,1137.0566757581903
264,1106.6926353561812
265,1130.718973117509
266,1132.3359114944606
267,1109.9690969381622
268,1061.4098263487037
269,1130.6036904485827
270,1131.1540443931692
271,1104.442588234415
272,1075.8107079304764
273,1101.842619851059
274,1135.9730975352627
275,1118.6305536860539
276,1130.1815893366465
277,1077.936167179921
278,1108.737161502049
279,1101.3735424151298
280,1081.9080311915948
281,1071.0368919085874
282,1140.2243878942702
283,1130.3342217648035
284,1114.32715397048
285,1133.7297524832225
286,1125.2049138480422
287,1112.5258527696847
288,1131.237423357888
289,1115.6877781521162
290,1088.8181149101931
291,1128.801772874007
292,1135.8871645175875
293,1105.4935462700926
294,1124.9490339636807
295,1070.0031418405385
296,1081.3962400757448
297,1128.045846757317
298,1119.5972450251052
299,1103.7443690166197
300,1095.2805241291162
301,1107.551530051886
302,1120.1045239592017
303,1079.0852261001617
304,1114.704822984686
305,1153.4188965335566
306,1124.4208709003976
307,1103.9906305483364
308,1083.1032566659735
309,1142.8181948394545
310,1104.6738587023785
311,1103.3758725551302
312,1086.210324559666
313,1179.9948442942657
314,1124.138429495181
315,1031.221319780883
316,1135.0994708654728
317,1071.1038338749017
318,1132.8795825621135
319,1131.0042602436656
320,1115.528863429014
321,1115.3952521285205
322,1096.8022775343118
323,1103.438622449671
324,1111.58487821017
325,1059.1441170008704
326,1122.8239134197142
327,1069.8377439636574
328,1121.9561005622909
329,1085.2185070388243
330,1067.5620688424397
331,1089.1681930111315
332,1101.0676991710134
333,1061.457048804376
334,1068.4247878815843
335,1085.0116387297367
336,1148.7698594417468
337,1067.2779122756556
338,1059.754744258202
339,1095.9446172897972
340,1074.7524587474663
341,1064.830146142986
342,1082.8066377123855
343,1129.7294833674594
344,1062.2550400150371
345,1092.472280206117
346,1139.403967448334
347,1142.5777342902538
348,1122.8815149070724
349,1137.3852648558848
350,1120.8004133336149
351,1110.1281167176562
352,1163.7490676984264
353,1105.2527285342983
354,1124.925959901922
355,975.7313326158463
356,1113.020027518147
357,1128.8523329916238
358,1141.937047660885
359,1125.0778192027792
360,1096.770170260563
361,1049.5820075229617
362,1079.923616936908
363,1104.7754591760497
364,1089.9484792418566
365,1124.6509010561383
366,1091.4699290086535
367,1083.007600393757
368,1031.595647748597
369,1055.2748573086603
370,1115.9205596263935
371,1099.080997016448
372,1061.4231162457265
373,1134.1116438952122
374,1115.9356022489344
375,1077.7893091411427
376,1014.222315917078
377,1099.9287215923862
378,1114.5429645691388
379,1080.2164596060186
380,1049.40173499721
381,1034.8204339197996
382,1093.5883383291784
383,1123.0036347520866
384,1131.7408005213638
385,1074.5563534056762
386,1122.6392031521907
387,1108.7370656129094
388,1012.0257947939733
389,1116.256686348789
390,1116.4034649142961
391,1128.328652633408
392,1107.8041567588934
393,1067.936683092913
394,1112.0480156799688
395,1099.6868437163866
396,1040.2866117367414
397,1124.4740376791717
398,1134.1383140326109
399,1135.7534752832416
400,1099.903762377087
401,1071.3097786880282
402,1073.6071230949876
403,1119.4267515143927
404,1069.6930020247112
405,1127.7563138481153
406,1061.3833129647282
407,1096.408104481166
408,1058.9713684556837
409,1031.1894273043033
410,1131.0031223817032
411,1130.2646768637564
412,1131.8179871811396
413,1147.43088272295
414,1139.1224412466236
415,1095.6298968442973
416,1131.6369273014413
417,1136.816770966416
418,1075.201648946304
419,1133.0418251829158
420,1132.7933594305312
421,1081.9350718647922
422,1134.0033951001526
423,1053.6404667804716
424,1142.4964058023722
425,1100.2420753795313
426,1122.7987207030747
427,1132.2275359454845
428,1116.4128358603775
429,1125.1588124672496
430,1121.044350928122
431,1140.0609440305614
432,1118.5016992142932
433,1086.8940160443951
434,1072.8353796131287
435,1069.9916321574656
436,1078.3351517759406
437,1139.9805704011949
438,1159.9814210231598
439,1122.5144726633368
440,1075.6655428241595
441,1034.487358227221
442,1112.2143907576979
443,1115.9485102972696
444,1110.9759713516416
445,1100.1664783176313
446,1137.9664360785566
447,1104.2235292051646
448,1060.7614172674514
449,1086.513405805674
450,1108.6535566683417
451,1109.5933923088187
452,1133.106046385591
453,1118.2533518591047
454,1074.1721840485752
455,1127.4156248492382
456,1145.9684525023795
457,1096.1317327452045
458,1111.673473504359
459,1086.9636708742719
460,1085.2896443485033
461,1028.5882115003049
462,1117.0821139254604
463,1104.309251207482
464,1086.5630207342654
465,1136.1268382361204
466,1108.207841777275
467,1097.9224203204853
468,971.6821817526778
469,1140.7328434968958
470,1098.4091386926218
471,1107.8680204023403
472,1128.2619557571256
473,1084.6675942318118
474,1125.0836167054665
475,1113.4682906585463
476,1128.8146657443883
477,1134.9076265886927
478,1127.2174722405732
479,1164.8681203310405
480,1108.922475090871
481,1114.060564627331
482,1078.1617786186605
483,1108.0545523776027
484,1102.2066595070687
485,1104.5926795909154
486,1086.679754626082
487,1118.5219460388405
488,1165.7467700798338
489,1078.5766046482518
490,1125.3932000895222
491,1119.6485196984172
492,1089.3049660543857
493,1132.5365076879434
494,1096.8580295400209
495,1125.422085611202
496,1124.3575855835184
497,1125.9763478606942
498,1132.2638992165848
499,1080.3895344904229
